date,TSLA,AAPL
2025-03-28,263.55,217.9
2025-03-27,273.13,223.85
2025-03-26,272.06,221.53
2025-03-25,288.14,223.75
2025-03-24,278.39,220.73
2025-03-21,248.71,218.27
2025-03-20,236.26,214.1
2025-03-19,235.86,215.24
2025-03-18,225.31,212.69
2025-03-17,238.01,214.0
2025-03-14,249.98,213.49
2025-03-13,240.68,209.68
2025-03-12,248.09,216.98
2025-03-11,230.58,220.84
2025-03-10,222.15,227.48
2025-03-07,262.67,239.07
2025-03-06,263.45,235.33
2025-03-05,279.1,235.74
2025-03-04,272.04,235.93
2025-03-03,284.65,238.03
2025-02-28,292.98,241.84
2025-02-27,281.95,237.3
2025-02-26,290.8,240.36
2025-02-25,302.8,247.04
2025-02-24,330.53,247.1
2025-02-21,337.8,245.55
2025-02-20,354.4,245.83
2025-02-19,360.56,244.87
2025-02-18,354.11,244.47
2025-02-14,355.84,244.6
2025-02-13,355.94,241.53
2025-02-12,336.51,236.87
2025-02-11,328.5,232.62
2025-02-10,350.73,227.65
2025-02-07,361.62,227.63
2025-02-06,374.32,233.22
2025-02-05,378.17,232.47
2025-02-04,392.21,232.8
2025-02-03,383.68,228.01
2025-01-31,404.6,236.0
2025-01-30,400.28,237.59
2025-01-29,389.1,239.36
2025-01-28,398.09,238.26
2025-01-27,397.15,229.86
2025-01-24,406.58,222.78
2025-01-23,412.38,223.66
2025-01-22,415.11,223.83
2025-01-21,424.07,222.64
2025-01-17,426.5,229.98
2025-01-16,413.82,228.26
2025-01-15,428.22,237.87
2025-01-14,396.36,233.28
2025-01-13,403.31,234.4
2025-01-10,394.74,236.85
2025-01-08,394.94,242.7
2025-01-07,394.36,242.21
2025-01-06,411.05,245.0
2025-01-03,410.44,243.36
2025-01-02,379.28,243.85
2024-12-31,403.84,250.42
2024-12-30,417.41,252.2
2024-12-27,431.66,255.59
2024-12-26,454.13,259.02
2024-12-24,462.28,258.2
2024-12-23,430.6,255.27
2024-12-20,421.06,254.49
2024-12-19,436.17,249.79
2024-12-18,440.13,248.05
2024-12-17,479.86,253.48
2024-12-16,463.02,251.04
2024-12-13,436.23,248.13
2024-12-12,418.1,247.96
2024-12-11,424.77,246.49
2024-12-10,400.99,247.77
2024-12-09,389.79,246.75
2024-12-06,389.22,242.84
2024-12-05,369.49,243.04
2024-12-04,357.93,243.01
2024-12-03,351.42,242.65
2024-12-02,357.09,239.59
2024-11-29,345.16,237.33
2024-11-27,332.89,234.93
2024-11-26,338.23,235.06
2024-11-25,338.59,232.87
2024-11-22,352.56,229.87
2024-11-21,339.64,228.52
2024-11-20,342.03,229.0
2024-11-19,346.0,228.28
2024-11-18,338.74,228.02
2024-11-15,320.72,225.0
2024-11-14,311.18,228.22
2024-11-13,330.24,225.12
2024-11-12,328.49,224.23
2024-11-11,350.0,224.23
2024-11-08,321.22,226.96
2024-11-07,296.91,227.48
2024-11-06,288.53,222.72
2024-11-05,251.44,223.45
2024-11-04,242.84,222.01
2024-11-01,248.98,222.91
